iter	Passed	Remaining
0	82	32196
1	101	19768
2	128	16675
3	150	14528
4	169	13118
5	191	12259
6	210	11570
7	236	11336
8	254	10805
9	272	10399
10	292	10114
11	309	9760
12	324	9429
13	344	9271
14	361	9059
15	380	8919
16	397	8751
17	414	8585
18	435	8523
19	454	8425
20	472	8323
21	497	8351
22	518	8300
23	533	8163
24	551	8068
25	566	7954
26	586	7903
27	602	7807
28	628	7839
29	650	7827
30	666	7740
31	681	7645
32	698	7582
33	718	7545
34	733	7462
35	749	7393
36	765	7320
37	781	7258
38	796	7189
39	811	7122
40	830	7087
41	845	7022
42	860	6962
43	874	6899
44	890	6844
45	905	6787
46	919	6731
47	935	6683
48	950	6631
49	964	6578
50	980	6534
51	995	6487
52	1010	6442
53	1025	6397
54	1044	6380
55	1059	6340
56	1074	6297
57	1091	6264
58	1107	6229
59	1127	6217
60	1141	6175
61	1156	6136
62	1177	6132
63	1192	6094
64	1212	6079
65	1227	6045
66	1242	6008
67	1258	5977
68	1275	5953
69	1290	5919
70	1308	5897
71	1322	5861
72	1340	5839
73	1360	5826
74	1378	5806
75	1393	5775
76	1411	5754
77	1428	5733
78	1443	5702
79	1458	5670
80	1476	5648
81	1500	5654
82	1516	5626
83	1533	5604
84	1551	5586
85	1566	5557
86	1584	5536
87	1600	5509
88	1617	5488
89	1634	5466
90	1653	5452
91	1672	5434
92	1689	5413
93	1706	5391
94	1726	5378
95	1744	5360
96	1759	5332
97	1776	5311
98	1796	5298
99	1813	5277
100	1832	5262
101	1848	5238
102	1863	5211
103	1879	5185
104	1894	5161
105	1910	5136
106	1925	5110
107	1940	5085
108	1956	5060
109	1972	5038
110	1987	5013
111	2003	4991
112	2021	4973
113	2039	4956
114	2057	4937
115	2073	4914
116	2090	4894
117	2105	4871
118	2121	4848
119	2138	4830
120	2156	4811
121	2171	4788
122	2190	4773
123	2212	4764
124	2228	4741
125	2244	4720
126	2260	4698
127	2275	4675
128	2293	4657
129	2311	4639
130	2325	4615
131	2342	4596
132	2359	4577
133	2380	4564
134	2395	4542
135	2413	4525
136	2427	4501
137	2446	4484
138	2460	4461
139	2483	4452
140	2498	4430
141	2515	4410
142	2530	4388
143	2545	4366
144	2563	4348
145	2580	4330
146	2596	4309
147	2612	4288
148	2627	4267
149	2643	4247
150	2659	4226
151	2675	4206
152	2689	4184
153	2706	4165
154	2721	4144
155	2739	4126
156	2755	4107
157	2774	4091
158	2791	4073
159	2807	4052
160	2821	4030
161	2836	4010
162	2853	3991
163	2872	3975
164	2889	3958
165	2905	3938
166	2921	3918
167	2936	3897
168	2954	3880
169	2972	3864
170	2991	3848
171	3007	3828
172	3026	3813
173	3044	3796
174	3061	3779
175	3077	3759
176	3095	3742
177	3111	3723
178	3129	3706
179	3144	3686
180	3162	3668
181	3176	3648
182	3193	3629
183	3211	3612
184	3227	3594
185	3243	3575
186	3260	3557
187	3276	3537
188	3293	3520
189	3310	3501
190	3327	3484
191	3342	3464
192	3357	3444
193	3375	3427
194	3392	3410
195	3412	3394
196	3427	3375
197	3442	3355
198	3458	3336
199	3476	3319
200	3495	3304
201	3512	3286
202	3527	3266
203	3542	3247
204	3558	3229
205	3573	3209
206	3592	3193
207	3608	3174
208	3622	3154
209	3638	3136
210	3654	3117
211	3669	3098
212	3686	3080
213	3703	3063
214	3722	3047
215	3739	3029
216	3754	3010
217	3772	2993
218	3788	2975
219	3803	2956
220	3818	2937
221	3835	2919
222	3850	2900
223	3867	2883
224	3883	2864
225	3898	2846
226	3912	2826
227	3931	2810
228	3947	2792
229	3962	2773
230	3978	2755
231	3996	2739
232	4011	2720
233	4029	2703
234	4045	2685
235	4060	2667
236	4078	2650
237	4093	2631
238	4110	2614
239	4126	2595
240	4143	2578
241	4158	2560
242	4177	2544
243	4198	2529
244	4213	2511
245	4230	2493
246	4245	2475
247	4261	2457
248	4280	2440
249	4298	2424
250	4316	2407
251	4331	2389
252	4347	2371
253	4361	2352
254	4376	2334
255	4394	2317
256	4410	2299
257	4425	2281
258	4443	2264
259	4462	2248
260	4478	2230
261	4494	2212
262	4508	2194
263	4526	2177
264	4541	2159
265	4556	2141
266	4574	2124
267	4589	2106
268	4606	2089
269	4624	2072
270	4643	2056
271	4659	2038
272	4675	2020
273	4694	2004
274	4712	1987
275	4728	1970
276	4744	1952
277	4763	1936
278	4781	1919
279	4802	1903
280	4818	1886
281	4832	1868
282	4849	1850
283	4864	1832
284	4880	1815
285	4900	1799
286	4918	1782
287	4934	1764
288	4952	1748
289	4969	1730
290	4986	1713
291	5002	1696
292	5019	1678
293	5036	1661
294	5053	1644
295	5071	1627
296	5086	1609
297	5101	1591
298	5116	1574
299	5131	1556
300	5146	1538
301	5163	1521
302	5180	1504
303	5196	1487
304	5212	1469
305	5229	1452
306	5244	1435
307	5263	1418
308	5279	1400
309	5295	1383
310	5311	1366
311	5326	1348
312	5344	1331
313	5363	1315
314	5379	1297
315	5394	1280
316	5412	1263
317	5427	1245
318	5444	1228
319	5463	1212
320	5479	1194
321	5495	1177
322	5514	1160
323	5529	1143
324	5545	1126
325	5560	1108
326	5575	1091
327	5591	1073
328	5609	1057
329	5627	1040
330	5645	1023
331	5661	1006
332	5676	988
333	5694	971
334	5712	955
335	5730	938
336	5746	920
337	5761	903
338	5779	886
339	5793	869
340	5811	852
341	5827	834
342	5841	817
343	5858	800
344	5876	783
345	5894	766
346	5909	749
347	5926	732
348	5942	715
349	5957	697
350	5973	680
351	5988	663
352	6003	646
353	6018	629
354	6036	612
355	6052	595
356	6068	577
357	6083	560
358	6099	543
359	6116	526
360	6132	509
361	6146	492
362	6163	475
363	6181	458
364	6197	441
365	6213	424
366	6229	407
367	6244	390
368	6262	373
369	6279	356
370	6296	339
371	6311	322
372	6330	305
373	6346	288
374	6363	271
375	6380	254
376	6396	237
377	6414	220
378	6431	203
379	6454	186
380	6472	169
381	6489	152
382	6506	135
383	6524	118
384	6543	101
385	6559	84
386	6581	68
387	6595	50
388	6613	34
389	6630	17
390	6646	0
